id,texto
1,"El presidente anunció nuevas medidas para mejorar el abasto de gasolina en varias ciudades del país. El plan de abasto incluye distribución de gasolina, supervisión de precios y coordinación con estaciones de servicio."
2,"La falta de gasolina provocó largas filas en estaciones de servicio durante la mañana. En varias estaciones las filas crecieron porque la gasolina llegó tarde y los conductores esperaron durante horas."
3,"Universidades públicas solicitaron mayor presupuesto para investigación, educación y becas estudiantiles. Los rectores señalaron que el presupuesto universitario sostiene laboratorios, proyectos de investigación y programas de becas."
4,"El presupuesto nacional contempla apoyos para universidades, hospitales y programas sociales. La propuesta de presupuesto aumenta recursos para hospitales públicos, becas sociales y programas de atención comunitaria."
5,"La Guardia Nacional reforzó la seguridad en carreteras y zonas con reportes de robo de combustible. El operativo de seguridad vigila carreteras, ductos y estaciones para reducir el robo de gasolina."
6,"Trump defendió la construcción del muro fronterizo durante un discurso ante sus simpatizantes. En el discurso, Trump insistió en que el muro fronterizo era necesario para controlar la migración."
7,"El gobierno mexicano respondió a las declaraciones de Trump sobre migración y seguridad fronteriza. La respuesta del gobierno señaló que la migración debe atenderse con cooperación, seguridad fronteriza y diálogo diplomático."
8,"Estudiantes universitarios protestaron por recortes al presupuesto de educación pública. La protesta estudiantil exigió más presupuesto, becas, investigación y apoyo para universidades públicas."
9,"Autoridades investigan una red dedicada al robo de gasolina en ductos del centro del país. La investigación ubicó ductos clandestinos, venta ilegal de gasolina y vehículos usados para transportar combustible robado."
10,"El presidente se reunió con rectores para discutir presupuesto, investigación y desarrollo tecnológico. En la reunión se habló de presupuesto universitario, proyectos de investigación, innovación tecnológica y becas para estudiantes."
