id,ranking,termino,tfidf,texto
1,1,abasto,0.27728,"El presidente anunció nuevas medidas para mejorar el abasto de gasolina en varias ciudades del país. El plan de abasto incluye distribución de gasolina, supervisión de precios y coordinación con estaciones de servicio."
1,2,gasolina,0.183346,"El presidente anunció nuevas medidas para mejorar el abasto de gasolina en varias ciudades del país. El plan de abasto incluye distribución de gasolina, supervisión de precios y coordinación con estaciones de servicio."
1,3,mejorar abasto,0.163766,"El presidente anunció nuevas medidas para mejorar el abasto de gasolina en varias ciudades del país. El plan de abasto incluye distribución de gasolina, supervisión de precios y coordinación con estaciones de servicio."
1,4,incluye distribución,0.163766,"El presidente anunció nuevas medidas para mejorar el abasto de gasolina en varias ciudades del país. El plan de abasto incluye distribución de gasolina, supervisión de precios y coordinación con estaciones de servicio."
1,5,incluye,0.163766,"El presidente anunció nuevas medidas para mejorar el abasto de gasolina en varias ciudades del país. El plan de abasto incluye distribución de gasolina, supervisión de precios y coordinación con estaciones de servicio."
2,1,filas,0.282687,La falta de gasolina provocó largas filas en estaciones de servicio durante la mañana. En varias estaciones las filas crecieron porque la gasolina llegó tarde y los conductores esperaron durante horas.
2,2,estaciones,0.210243,La falta de gasolina provocó largas filas en estaciones de servicio durante la mañana. En varias estaciones las filas crecieron porque la gasolina llegó tarde y los conductores esperaron durante horas.
2,3,gasolina,0.186921,La falta de gasolina provocó largas filas en estaciones de servicio durante la mañana. En varias estaciones las filas crecieron porque la gasolina llegó tarde y los conductores esperaron durante horas.
2,4,tarde conductores,0.16696,La falta de gasolina provocó largas filas en estaciones de servicio durante la mañana. En varias estaciones las filas crecieron porque la gasolina llegó tarde y los conductores esperaron durante horas.
2,5,tarde,0.16696,La falta de gasolina provocó largas filas en estaciones de servicio durante la mañana. En varias estaciones las filas crecieron porque la gasolina llegó tarde y los conductores esperaron durante horas.
3,1,investigación,0.19935,"Universidades públicas solicitaron mayor presupuesto para investigación, educación y becas estudiantiles. Los rectores señalaron que el presupuesto universitario sostiene laboratorios, proyectos de investigación y programas de becas."
3,2,presupuesto,0.19935,"Universidades públicas solicitaron mayor presupuesto para investigación, educación y becas estudiantiles. Los rectores señalaron que el presupuesto universitario sostiene laboratorios, proyectos de investigación y programas de becas."
3,3,becas,0.19935,"Universidades públicas solicitaron mayor presupuesto para investigación, educación y becas estudiantiles. Los rectores señalaron que el presupuesto universitario sostiene laboratorios, proyectos de investigación y programas de becas."
